SN,RE_A4,RE_D4,RE_D3,RE_D2,RE_D1,SD_A4,SD_D4,SD_D3,SD_D2,SD_D1,Condition
23,0.999993,0.000003,0.000002,0.000000,0.000001,82.136887,0.350965,0.191538,0.050429,0.068611,L
24,0.999953,0.000007,0.000028,0.000002,0.000009,0.063089,0.000649,0.000896,0.000189,0.000257,N
25,0.999995,0.000003,0.000002,0.000000,0.000001,97.063735,0.373096,0.205522,0.054228,0.073779,L
26,0.999993,0.000004,0.000002,0.000000,0.000001,97.886938,0.420425,0.230536,0.060764,0.082674,L
27,0.999993,0.000004,0.000002,0.000000,0.000001,9.445815,0.041426,0.022501,0.005979,0.008135,G
28,0.999995,0.000003,0.000002,0.000000,0.000001,98.836338,0.375704,0.209270,0.054721,0.074449,L
29,0.999993,0.000003,0.000002,0.000000,0.000001,100.016807,0.427568,0.231739,0.061583,0.083788,L
30,0.999995,0.000002,0.000001,0.000000,0.000001,100.730898,0.356083,0.195412,0.051932,0.070653,L
31,0.999995,0.000003,0.000002,0.000000,0.000001,98.836336,0.375705,0.209270,0.054722,0.074449,L
32,0.999993,0.000003,0.000002,0.000000,0.000001,100.016808,0.427568,0.231739,0.061583,0.083788,L
33,0.999995,0.000002,0.000001,0.000000,0.000001,100.730910,0.356084,0.195412,0.051932,0.070653,L
34,0.999911,0.000045,0.000026,0.000004,0.000014,4.410728,0.037219,0.020251,0.005384,0.007326,G
35,0.999969,0.000016,0.000009,0.000001,0.000005,63.960371,0.319789,0.174125,0.046326,0.063037,L
36,0.999952,0.000024,0.000014,0.000002,0.000007,7.358239,0.046114,0.024809,0.006663,0.009066,G
37,0.999967,0.000017,0.000010,0.000001,0.000005,53.495580,0.276752,0.149607,0.039817,0.054180,L
